StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2_1,Q3,Q4_1,Q4_2,Q21,1_Q7_1,1_Q8_1,1_Q8_2,3_Q7_1,3_Q8_1,3_Q8_2,Q11,Q12_1,Q12_2,Q13,1_Q14_1,1_Q14_2,2_Q14_1,2_Q14_2,3_Q14_1,3_Q14_2,4_Q14_1,4_Q14_2
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"First, thinking about a typical week, about how many times on average do you run the dishwasher? - Number of runs per week",Please give further information: [QID5-QuestionText],"Great, so you typically run your dishwasher [QID5-ChoiceNumericEntryValue-1] times per week. How is this split between weekdays and weekends? - Number of runs on weekdays (Mon-Fri)","Great, so you typically run your dishwasher [QID5-ChoiceNumericEntryValue-1] times per week. How is this split between weekdays and weekends? - Number of runs on weekends (Sat-Sun)",[translation hack],Typically what is the most common time you run your dishwasher [Field-1]? - on weekdays - Most common time,Thanks for telling us that you most frequently run the dishwasher at [QID2-ChoiceNumericEntryValue-1]:00 [Field-1]. Now we'd like to know how much this usual time varies - on weekdays - Earliest usual time,Thanks for telling us that you most frequently run the dishwasher at [QID2-ChoiceNumericEntryValue-1]:00 [Field-1]. Now we'd like to know how much this usual time varies - on weekdays - Latest usual time,Typically what is the most common time you run your dishwasher [Field-1]? - on weekends - Most common time,Thanks for telling us that you most frequently run the dishwasher at [QID2-ChoiceNumericEntryValue-1]:00 [Field-1]. Now we'd like to know how much this usual time varies - on weekends - Earliest usual time,Thanks for telling us that you most frequently run the dishwasher at [QID2-ChoiceNumericEntryValue-1]:00 [Field-1]. Now we'd like to know how much this usual time varies - on weekends - Latest usual time,Would you be willing to let the time at which your dishwasher operates be automatically adjusted?,How many hours earlier or later than the usual start time would you be willing to let your dishwasher operate? - Earliest start,How many hours earlier or later than the usual start time would you be willing to let your dishwasher operate? - Latest start,"If at certain hours of the day there is a discount on your electricity bill, would you be willing to let the time at which your dishwasher operates be automatically adjusted?","With a [Field-1]% discount on your electricity bill during certain hours of the day, how many hours earlier or later than the usual start time would you be willing to let your dishwasher operate? - 10 - Earliest start","With a [Field-1]% discount on your electricity bill during certain hours of the day, how many hours earlier or later than the usual start time would you be willing to let your dishwasher operate? - 10 - Latest start","With a [Field-1]% discount on your electricity bill during certain hours of the day, how many hours earlier or later than the usual start time would you be willing to let your dishwasher operate? - 20 - Earliest start","With a [Field-1]% discount on your electricity bill during certain hours of the day, how many hours earlier or later than the usual start time would you be willing to let your dishwasher operate? - 20 - Latest start","With a [Field-1]% discount on your electricity bill during certain hours of the day, how many hours earlier or later than the usual start time would you be willing to let your dishwasher operate? - 30 - Earliest start","With a [Field-1]% discount on your electricity bill during certain hours of the day, how many hours earlier or later than the usual start time would you be willing to let your dishwasher operate? - 30 - Latest start","With a [Field-1]% discount on your electricity bill during certain hours of the day, how many hours earlier or later than the usual start time would you be willing to let your dishwasher operate? - 40 - Earliest start","With a [Field-1]% discount on your electricity bill during certain hours of the day, how many hours earlier or later than the usual start time would you be willing to let your dishwasher operate? - 40 - Latest start"
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID21""}","{""ImportId"":""1_QID2_1""}","{""ImportId"":""1_QID9_1""}","{""ImportId"":""1_QID9_2""}","{""ImportId"":""3_QID2_1""}","{""ImportId"":""3_QID9_1""}","{""ImportId"":""3_QID9_2""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID18""}","{""ImportId"":""1_QID19_1""}","{""ImportId"":""1_QID19_2""}","{""ImportId"":""2_QID19_1""}","{""ImportId"":""2_QID19_2""}","{""ImportId"":""3_QID19_1""}","{""ImportId"":""3_QID19_2""}","{""ImportId"":""4_QID19_1""}","{""ImportId"":""4_QID19_2""}"
2020-05-15 10:27:12,2020-05-15 10:29:16,IP Address,91.170.175.181,100,123,True,2020-05-15 10:29:16,R_3qahv7rYxYC7EG3,,,,,49.442901611328125,1.1002960205078125,anonymous,FR,5,,3,2,,22,19,4,22,20,4,Yes,-4,4,,,,,,-12,12,-12,12
2020-05-15 10:32:17,2020-05-15 10:35:25,IP Address,77.140.111.233,100,188,True,2020-05-15 10:35:25,R_6tiue8PZhPaP2oN,,,,,49.494293212890625,0.101806640625,anonymous,FR,6,,5,1,,21,21,9,21,20,11,Yes,-1,4,,,,,,-1,5,-2,4
2020-05-15 10:33:41,2020-05-15 10:36:31,IP Address,90.108.138.202,100,170,True,2020-05-15 10:36:31,R_3prOuqcwJKiSieQ,,,,,49.494293212890625,0.101806640625,anonymous,EN-GB,7,,5,2,,20,20,21,13,12,21,Yes,0,2,,0,2,,,-1,2,,
2020-05-15 10:38:26,2020-05-15 10:42:45,IP Address,109.11.152.187,100,259,True,2020-05-15 10:42:46,R_3qvUzdxBJDb4uyU,,,,,47.2776031494140625,1.55419921875,anonymous,FR,1,,1,0,,20,22,19,12,11,18,Yes,-8,3,,,,,,-12,12,-12,12
2020-05-15 10:40:28,2020-05-15 10:44:53,IP Address,90.85.45.145,100,264,True,2020-05-15 10:44:53,R_eeAJzqPK7ENIrrb,,,,,46.9394073486328125,1.7993927001953125,anonymous,FR,2,,1,1,,21,20,22,22,21,23,Yes,0,6,,,,,,4,6,5,7
2020-05-15 10:38:55,2020-05-15 10:46:02,IP Address,93.22.38.114,100,426,True,2020-05-15 10:46:03,R_VKBvbwPYihgfOrT,,,,,48.88330078125,2.533294677734375,anonymous,FR,2,,1,1,,14,14,20,14,21,14,No,,,No,,,,,,,,
2020-05-15 10:37:54,2020-05-15 10:46:19,IP Address,82.212.146.243,100,505,True,2020-05-15 10:46:20,R_UoltkkOyaKf2XwB,,,,,50.5832977294921875,5.86669921875,anonymous,FR,5,,3,2,,16,19,21,14,15,16,Yes,-2,2,,,,-4,4,-5,5,,
2020-05-15 10:40:43,2020-05-15 10:49:09,IP Address,49.2.170.232,100,506,True,2020-05-15 10:49:10,R_3j02WXfrMGNc0V1,,,,,-33.859100341796875,151.2001953125,anonymous,EN-GB,4,,3,1,,20,8,22,19,11,22,Yes,-4,7,,,,-6,8,-6,6,,
